Text,Intent
"Hi there, I'm a customer with a query regarding SkyWings airline's policies on baby strollers. Can you please let me know if we are allowed to bring our baby strollers onboard or at the gate? Thank you in advance for your help.",Passenger Services
"Hi, what are some good moisturizer recommendations?",Irrelevant
"Hello, I am having trouble accessing my loyalty account with SkyWings airline. I have tried resetting my password, but I still can't log in. Can you please help me recover my account?",Customer Support
"Hi, I was wondering if there are any current promotional offers or discounts available for domestic flight bookings with SkyWings airline. I'm interested in traveling within India and would appreciate any information you can provide.",Fares And Payments
"Hello, I had booked a flight with SkyWings for my upcoming trip. Unfortunately, I have to cancel my flight due to an emergency. Can I please rebook the same flight at the earliest convenience? I really appreciate your help in this matter.","Booking, Modifications And Cancellations"
"Hello, I am having some trouble accessing my SkyWings login. I have tried several times but keep getting an error message. Can you please help me resolve this issue? Thank you for your assistance.",Customer Support
"Hi, I'm interested in booking a domestic flight with SkyWings airline. Can you please provide me with more information about any currency exchange fees or charges for payments?
",Fares And Payments
"Hello there! I'm a huge foodie and I'm currently in Delhi. I've heard that SkyWings has some amazing momos, but I'm not sure where to get the best ones. Can you recommend any local momo places that are near the airport? I'd love to try some authentic and delicious momos while waiting for my flight. Thanks in advance!",Irrelevant
"Hi, I was wondering if onboard entertainment is available for domestic flights on SkyWings airline?",Passenger Services
"Hi, I'm planning a trip to India and I'm interested in flying with SkyWings. I was wondering if you could tell me more about how I can earn reward points while flying with your airline?
",Loyalty And Rewards
"Hello, I am trying to delete my SkyWings account, but I can't seem to find the option. Can you please help me with this issue?",Customer Support
"Hi, I recently booked a flight with SkyWings and was wondering if I will earn any reward points for this domestic flight. Can you please provide me with more information on this?",Loyalty And Rewards
"Hello, I recently took a flight with SkyWings and I'm wondering if my journey earned me any reward points. I'm not sure about the process for earning points and I would appreciate any information you can provide. Thank you for your help.",Loyalty And Rewards
"Hello, I was wondering if SkyWings is currently operating flights on national holidays. I am planning a trip and want to make sure I have the best options available. Thank you for your help.",Other
"Hi there! I'm looking to book a flight from Mumbai to Delhi. Can you please help me with the process?
","Booking, Modifications And Cancellations"
"Hello, I hope you're having a great day! I was wondering if you could kindly let me know how long SkyWings reward points are valid. I'm looking forward to using them for my next trip. Thank you!",Loyalty And Rewards
"Hello, I have a question regarding the baggage allowance for your airline. Can you please tell me how many bags a passenger is allowed to carry for domestic flights?",Baggage
"Hello, I'm a customer interested in SkyWings' partnerships with other domestic carriers. Can you please provide me with more information on which airlines SkyWings has partnered with for domestic flights?
",Other
"Hello, I am a customer with a query regarding check-in for SkyWings flights. I would like to know if the Aadhar card will be accepted as a valid ID for check-in. Could you please let me know if this is possible? Thank you for your assistance.",Travel Documents
"I've been a loyal customer of SkyWings for years, but I've noticed that other airlines have airport lounges. Do you have any plans to establish a lounge at one of the major Indian airports? I'm disappointed that SkyWings doesn't offer this amenity to its passengers.",Other
"I'm sorry to bother you, but I have a question about your flight. Is it true that for domestic flights in India, you need to arrive at the airport at least an hour before the scheduled departure time? I'm currently traveling with SkyWings and I want to make sure I'm not late for my flight. Thank you for your help.",Check-In And Boarding
"Hi, I'm sorry to bother you, but I'm a bit confused about the boarding gate process after check-in. Can you please guide me on how to find my boarding gate? I'm traveling with SkyWings airline and I have a domestic flight to catch. Thank you.",Check-In And Boarding
Hi there! I have a question about my checked-in baggage. I'm traveling with SkyWings airline and I'm not sure how to track it. Can you please provide me with some information on how to do this? I would really appreciate your help with this matter.,Baggage
"Hello, I am a customer of SkyWings and I am interested in knowing if your airline has any plans to expand to new cities. Can you please provide me with any updates or information on this matter?",Flight Operations
"Hi there, I'm a frequent flyer with SkyWings and I have a question about my baggage. I was wondering if I could bring my guitar with me on my next domestic flight? I have all the necessary documents and I'm not sure if it's allowed. I really appreciate your help.
",Baggage
"Hello, I am interested in booking a flight with SkyWings. Can you please let me know if you offer daily flights between the cities of Mumbai and Delhi?",Flight Operations
"Hello, I have a query regarding my upcoming flight with SkyWings. I am not sure about the check-in options available for domestic flights. Can you please guide me on this matter?",Check-In And Boarding
"Excuse me, I have a question regarding my flight with SkyWings. I was wondering if I am allowed to bring a small bottle of shampoo and conditioner in my carry-on bag. I'm traveling for business and would like to have some personal items with me. Is there any restriction on the size or type of liquid items I can carry in my bag?",Baggage
Hi there! I was wondering if you could please provide me with some information about how SkyWings handles customer privacy and data protection? I appreciate your help with this matter.,Other
"Hello, I am trying to cancel my booking with SkyWings. Can you please guide me through the process?","Booking, Modifications And Cancellations"
"Hello, I have a question regarding my SkyWings reward points. I would like to transfer them to my family member. Can you please guide me on how to do this?
",Loyalty And Rewards
"Hi, I was wondering if you could provide me with more information about your partnerships with other domestic carriers. I'm interested in knowing how many other airlines you have partnered with so far and what benefits these partnerships bring to your customers. Is there any specific reason why you have chosen to partner with these airlines?
",Other
"Hello, I'm a customer with a question about your airline, SkyWings. I am visually impaired and I was wondering if you offer any tech tools or services to assist passengers with disabilities during their flights? Thank you.",Other
"Hello, I am a frequent flyer with SkyWings and I was wondering if there are any opportunities to earn reward points while flying with your airline? I have heard that some airlines offer rewards for loyal customers and I would like to know if SkyWings has a similar program. Thank you for your help.",Loyalty And Rewards
"Hello, I am interested in adopting a pet in my city. Can you please provide me with information on the adoption process and any associated fees?
",Irrelevant
"Hello, I recently flew with SkyWings and had a great experience. However, I would like to provide some feedback on my journey. Could you please guide me on how to submit my feedback to SkyWings? I appreciate any assistance you can provide.",Customer Support
"Hello, I'm a frequent flyer with SkyWings and I'm looking for some tips on cooking biryani. Could you please suggest some good recipes or cooking techniques that I could use? I appreciate your help!
",Irrelevant
"Hi there, I hope you're doing well. I'm a passenger on a connecting domestic flight with SkyWings airline and I was wondering if there's any chance of a delay due to weather or other unforeseen circumstances. Could you please provide me with an update on the status of my flight? Thank you for your help!",Flight Operations
"Hi, I recently booked a flight with SkyWings for a domestic trip. I was wondering if I would be eligible to earn any reward points for this flight?",Loyalty And Rewards
"Dear customer service, I recently lost access to my loyalty account with SkyWings airline. I am a regular flyer and have been a loyal customer for many years. I am hoping you can help me recover my account by providing me with the necessary information and steps to take. Thank you for your assistance.",Customer Support
"Hello, I am planning a trip from Delhi to Mumbai and I was wondering if SkyWings offers any non-stop flights between these two cities. Can you please let me know if this is possible? Thank you.
",Flight Operations
"Hi, I have a query regarding the documents required for a domestic flight with SkyWings. Could you please guide me on this matter?",Travel Documents
"Hi, I have a question regarding the cancellation charges for your airline. Can you please let me know if there are any charges I need to pay before receiving a refund?",Refunds
Hi there! I'm planning a trip to Bangalore next month and I was wondering if I could use my SkyWings loyalty points to upgrade my seat. Can you please let me know what the process is for that? Thank you!,Loyalty And Rewards
" I have a question regarding cabin baggage allowance for SkyWings domestic flights. Could you please provide me with the specific guidelines for baggage size and weight? I would appreciate any assistance you can offer.
",Baggage
"As a customer, I recently flew with SkyWings and unfortunately, my payment was overcharged. I'm hoping to receive a refund for this error. Could you please guide me on the refund process for overcharged payments on domestic flights? Thank you for your assistance.
",Fares And Payments
"Hi there, I was wondering if there are any cancellation charges that apply before a refund is issued for domestic flights with SkyWings airline. Thank you.","Booking, Modifications And Cancellations"
"Hi, I have a question about my recent domestic flight with SkyWings. I noticed an additional charge on my bill that I wasn't expecting. Can you please explain what this charge is for and if there have been any changes in your payment policies? Thank you for your help.
",Fares And Payments
"Hello, I am a customer of SkyWings airline and I seem to have lost access to my loyalty account. I was wondering if there is any way you could help me recover it? I would appreciate any assistance you could provide. Thank you.",Loyalty And Rewards
"Hello, I am a customer interested in booking a flight with SkyWings airline. I was wondering if convenience and service fees are refunded along with the ticket price. Thank you for your assistance.",Refunds
"Hi, I'm a customer looking to book a flight with SkyWings. Can you please let me know if you have any plans to expand to new cities in the near future?
",Other
"Hello, I was wondering if you could help me track the status of my refund? I recently booked a flight with SkyWings and unfortunately had to cancel it due to unforeseen circumstances. I've been trying to reach out to your customer service team, but haven't received any updates yet. Could you please assist me with this matter?",Refunds
"Hello, I hope you're doing well. I have a question regarding my upcoming flight with SkyWings. Will a nationalized bank passbook be accepted as valid ID for travel? Thank you for your time and assistance.",Travel Documents
"Hello, I recently booked a flight with SkyWings for a domestic trip, but unfortunately, I need to cancel my booking. Can you please guide me on how to proceed with the cancellation process? I would greatly appreciate your assistance.","Booking, Modifications And Cancellations"
I have a query regarding the check-in options for SkyWings flights. I'm not quite sure how to proceed and would appreciate your assistance. Could you please provide me with some information on the check-in process and any specific requirements or procedures I should be aware of? Thank you for your help.,Check-In And Boarding
"Hello, I would like to inquire about the process for upgrading my seat using my SkyWings loyalty points. Could you please provide me with the necessary details and requirements?",Loyalty And Rewards
Hi there! I was wondering if SkyWings has any partnerships with local tourism boards in India. I'm looking for some insider tips on exploring the country and would love to hear if SkyWings can help me with any travel arrangements. Thank you!,Other
"Hello, I would like to know if I earn rewards on add-on services with SkyWings airline.",Loyalty And Rewards
"Hi, I'm having trouble with my flight booking on your website. Can you help me change my reservation to a different date and time? I need to travel next week for a family emergency.","Booking, Modifications And Cancellations"
"Hello, I would like to inquire about the possibility of canceling my current domestic flight with SkyWings and rebooking it for a later date. Can you please guide me through the necessary steps to do so?","Booking, Modifications And Cancellations"
"Hello, I would like to know the flight timings for a domestic route within India. Can you please provide me with the details?",Flight Operations
"Hello, I hope this message finds you well. I am planning to book a flight with SkyWings and I was wondering if a disability photo ID card will be accepted for check-in. I have a visual impairment and I have heard that SkyWings is very accommodating to passengers with disabilities. I appreciate your help and I look forward to hearing from you soon. Thank you very much.",Travel Documents
"Hello, I'm having trouble resetting my SkyWings account password. Could you please guide me on how to do it?",Customer Support
Hi there! I was wondering if there are multiple flights per day between [insert two Indian cities]. I'm planning a trip and would like to know the options available. Thank you in advance for your help!,Flight Operations
"Hello, what language are the in-flight announcements made in?",Other
"Hi, I'm a customer with a query about your airline. I'm flying with SkyWings and I was wondering if there's any onboard entertainment available?",Passenger Services
"Hi, I'm sorry to bother you, but I recently had a flight with SkyWings that was cancelled due to unforeseen circumstances. I was wondering if you could provide me with some information on the refund timeline for domestic flights cancelled by the airline. I understand that this is a busy time for the airline, but any assistance you can provide would be greatly appreciated. Thank you for your time and help.",Refunds
"Hello, I have a question regarding my baggage. I noticed that my checked luggage was not delivered to my hotel as expected. Can you please help me with this issue?",Baggage
"I have been a loyal customer of SkyWings for years, but I am unable to find any information on the airline's website about its founding. Can you please provide me with the year in which SkyWings was established?",Other
"Hey, I've been noticing some strange patterns in my horoscope lately. Do you happen to have any insights on that? I'm a loyal customer of SkyWings and I'm just curious about what the stars have in store for me.",Irrelevant
"Hi there, I'm a customer with a query. Is there any onboard entertainment available on your flights?
",Passenger Services
"Hello, I recently missed a domestic flight with SkyWings and I'm looking for information on the refund process. Could you please guide me on how to proceed with this matter? Thank you.",Refunds
Which is the best toy store in Bangalore?,Irrelevant
Hi there! I was wondering if you could help me with an application for a passport. I'm planning a trip to visit my family in another state and need to get my passport in order. Could you please guide me through the process and let me know what documents I need to submit? Thank you so much for your help!,Irrelevant
"Hello, I have a question regarding the aircraft types used by SkyWings for different Indian routes. Could you please provide me with this information? Thank you.",Flight Operations
"Hi, I'm a loyal customer of SkyWings and I'm feeling frustrated with their customer service. I've been trying to reach them for the past week to inquire about their media partnership program, but I've been put on hold for hours, transferred to different departments, and given vague and unhelpful answers. I don't understand why they can't provide me with a clear and concise response, and I feel like they don't care about their customers at all. I",Customer Support
"Hello, I am a frequent flyer with SkyWings and I was wondering if the airline has ever received any aviation awards in the past. I am curious as I appreciate airlines that prioritize safety and customer service. Thank you.",Other
"Hello, I am a customer with a disability and I am wondering if I will need to present a disability photo ID card for check-in at SkyWings. Could you please provide me with information on this matter?",Travel Documents
"Hi, I was just wondering what the capital of Australia is.",Irrelevant
"Hello, I am a passenger on a domestic flight with SkyWings and I was wondering if there are any Wi-Fi or charging ports available onboard. I have important work to complete during the flight and I would greatly appreciate it if you could provide me with this information.",Passenger Services
"Hi there! I'm planning a trip to India and I have a question about baggage. Can you please let me know what are the baggage allowance and the weight limit for my domestic flight with SkyWings? I appreciate your help in advance!
",Baggage
"Hello, I'm sorry to bother you, but I wanted to ask about the cancellation fees for my flight with SkyWings. Is there a fee for canceling a flight, and if so, what is the process for requesting a refund? Thank you for your help.
","Booking, Modifications And Cancellations"
"Hello, I am a customer looking to check-in for my flight with SkyWings. Can you please assist me with the check-in process?",Check-In And Boarding
"Hello, I would like to inquire about the process of upgrading my seat using my SkyWings loyalty points. Can you please guide me through the necessary steps?
",Loyalty And Rewards
"Hello, I am interested in using my SkyWings reward points for a domestic flight. Can you please let me know how long my points are valid for? Thank you.",Loyalty And Rewards
"Hello, I have a problem with my flight booking on SkyWings. I have a connecting flight from Mumbai to Delhi, and I need to change my seat to the window one. Can you please help me with this? I have a medical condition that requires me to sit by the window and have easy access to the bathroom. I have already booked my ticket online and have a confirmation email. My original seat number is A1234. Please let me know if",Irrelevant
"Hello, I'm interested in checking if there are any domestic flights available with SkyWings today. Can you please let me know if there are any flights departing from my location? Thank you for your help.",Flight Operations
"Hi, I have a question regarding my recent domestic flight with SkyWings. I noticed that I was not allowed to bring my piano on board, and I'm wondering if there's a possibility to transport it as baggage. I understand that SkyWings only offers domestic flights, but I was hoping to bring my guitar with me for a personal reason. Is there any way to arrange for it to be transported as baggage? Thank you for your help.
",Baggage
"Hi there, I was wondering if you could help me with a financial query. I have some money in my account at Bank A and I need to transfer it to another account at Bank B. I'm not sure how to do it, but I think I need to fill out some form or something. Can you please guide me through the process?",Irrelevant
"Hello, I'm sorry to bother you, but I have a query regarding my recent flight with SkyWings. I had booked a flight to Delhi from Mumbai, but unfortunately, it got cancelled due to unforeseen circumstances. I have not received a refund for my ticket, and I'm a bit worried about the charges being deducted from my account. Could you please help me understand the situation and get a refund for my cancelled flight? I appreciate your assistance and understanding.
",Refunds
"Hello, my name is [insert name]. I am planning a domestic flight with SkyWings airline and I was wondering if a driving license would be accepted as a valid document for my journey. Can you please provide me with more information on this matter?",Travel Documents
"Hello, I have a question regarding the baggage allowance for my flight. Can you please let me know if there are any restrictions or fees for exceeding the weight limit?",Baggage
"Hello, I hope this message finds you well. I recently purchased a non-refundable ticket with SkyWings for a domestic flight in India. However, I have a change of plans and would like to inquire about the possibility of a refund under special cases. Could you please guide me through the process and provide me with any relevant information or documentation that I may need to provide? Thank you for your time and assistance.",Refunds
"I'm sorry to bother you, but I'm not sure what the best way is to check in for my flight with SkyWings. Can you please guide me through the process? I would prefer not to use the app, but I'm not sure if I can go to the counter. Also, do I need to bring any additional documents or ID? Thank you for your help.",Check-In And Boarding
"Hello, I require assistance with booking a flight between Bangalore and Hyderabad.","Booking, Modifications And Cancellations"
"Hello, I am interested in booking a flight for a group of 10 people. Are there any group booking discounts available for SkyWings flights?",Other
"Hello, I'm sorry to bother you, but I had a missed domestic flight with SkyWings and I was wondering if you could please help me with the refund process. I hope you understand that I had no control over this situation and I'm just trying to get my money back. Could you please advise me on what steps I need to take to initiate the refund?",Refunds
"Hello, I have a query regarding a special request for my upcoming flight with SkyWings. I have a family member with a disability who needs assistance during the flight. Is it possible for us to request a caregiver to accompany them on the flight? Thank you for your assistance.",Passenger Services
"Hi, I have a question regarding my recent booking with SkyWings. I would like to inquire about the possibility of modifying my flight details. Can you please guide me through the process and let me know what information I need to provide? Thank you in advance for your assistance.","Booking, Modifications And Cancellations"
"Hello, I would like to know if my payment for a domestic flight booking with SkyWings has been processed successfully. Could you please provide me with an update on the status of my payment? Thank you for your assistance.
",Fares And Payments
"Hi, I want to book a train ticket from Mumbai to Ahmedabad. Can you help me?",Irrelevant
"Hi, I'm calling to inquire about the documents required for a domestic flight with SkyWings. Can you please provide me with the necessary information?",Travel Documents
"Hi, I have a question regarding my baggage. I recently flew with SkyWings and I am concerned because my luggage hasn't arrived yet. Can you please help me with this issue?",Baggage
"Hi, I'm interested in booking a flight with SkyWings for my domestic travel. Can you please let me know if there are any additional fees or charges associated with this booking? I appreciate your assistance.
",Fares And Payments
"Hi there, I have a query regarding your flight schedule for next week. Can you please let me know if there are any changes or updates that I should be aware of?",Flight Operations
"Hi there! I hope this message finds you well. I have a question regarding your airline's policy on unaccompanied minors on domestic flights. Could you please let me know what the age requirements are for unaccompanied minors, and what kind of support is available for them during the flight? Thank you in advance for your help.",Passenger Services
"Hi, I'm having trouble packing for my upcoming flight with SkyWings. I have a few items that I'm not sure are allowed in my luggage. Can you please provide me with a list of restricted items for domestic flights with SkyWings? I want to make sure I don't get in trouble when going through security. Thank you for your help!
",Baggage
"Hello, I'm planning a trip with my infant and I'm wondering if a birth certificate is required for domestic flights with SkyWings. Can you please provide me with more information on this matter?",Travel Documents
Hi there! I was wondering if I could make a change to my booking with SkyWings. Is that something you can help me with?,"Booking, Modifications And Cancellations"
Hi there! I'm planning a domestic flight with SkyWings and I was wondering if I can do web check-in. I'm really excited about this trip and I want to make sure everything goes smoothly. Thanks for your help!,Check-In And Boarding
"Hello, I am planning to book a domestic flight with SkyWings. Could you please inform me about any additional fees or charges that I need to be aware of while making the booking?
",Fares And Payments
"Hello, I am a foreign national and I am wondering what identification documents I can use for domestic travel with SkyWings airline. Can you please guide me on this matter?",Travel Documents
"Hello, I have a question regarding my baggage for my upcoming domestic flight with SkyWings. Is there a limit to the weight of my luggage allowed on board, and if so, how can I ensure that I stay within that limit? Additionally, if I have any issues with my checked baggage, how can I contact customer service to resolve the problem? Thank you for your assistance.",Baggage
"Hello, I recently made a booking with SkyWings for a domestic flight, but unfortunately, I need to cancel it. Can you please guide me on the refund policy for such cancellations? Thank you.",Refunds
Hi there! I'm interested in learning more about how SkyWings chooses new routes. Can you provide me with some insight into this process? I'm curious about the factors that go into deciding which destinations to fly to and how the airline evaluates potential routes for profitability.,Other
"Hi there, I hope you're doing well. I have a question about my electricity bill. Is it possible to check it online? I'm not sure how to go about it, and I was hoping you could help me out.
",Irrelevant
"Hello, I recently booked a flight with SkyWings and I was wondering if it qualifies for reward points. Can you please let me know if I can earn any points for this flight?",Loyalty And Rewards
"Hello, I am planning to travel with SkyWings and unfortunately, I won't be able to make it. Can I transfer my booking to another person?","Booking, Modifications And Cancellations"
"Hello, I'm calling to inquire about the necessary travel documents for my child when flying with SkyWings airline. Could you please provide me with the required documents for a child traveling domestically in India?",Travel Documents
"Hello, I have a query regarding the check-in time window for your domestic flights. Can you please provide me with more details on this matter?",Check-In And Boarding
"Hello, I am interested in traveling from Mumbai to Delhi. Can you please let me know if there are multiple flights available per day between these two cities? Thank you for your assistance.",Flight Operations
"Hello, I would like to modify my travel dates for my upcoming flight with SkyWings. Could you please guide me on how to do that? Thank you.","Booking, Modifications And Cancellations"
"Hello, I recently took a domestic flight with SkyWings airline and unfortunately, I was unable to make it to my connecting flight. I was wondering if refunds are processed automatically in situations like this, or if I would need to make a separate request for a refund. Thank you for your help.",Refunds
"Hello, I recently received a cancellation confirmation for my flight with SkyWings, but I haven't received any update regarding the refund. Could you please provide me with an update on this matter? I appreciate your assistance.
",Refunds
"Hello, I recently booked a flight with SkyWings. Can you explain what a convenience fee is?",Fares And Payments
"Hello, I hope you're having a great day. I have a question about my upcoming flight with SkyWings. Can you please provide me with information on the fees for excess baggage? Also, if there are any specific rules I should be aware of when packing my bags, it would be greatly appreciated. Thank you in advance for your assistance!",Baggage
Hi there! I'm planning a trip to the USA and I'm wondering if SkyWings airline offers any assistance with obtaining a visa for my destination. Can you please provide me with some information on the visa application process and any required documents? Thank you in advance for your help!,Other
Hi there! I hope you're having a great day. I wanted to inquire about the possibility of a refund for my recent domestic flight with SkyWings. Is it possible for me to receive a refund for my ticket? Thank you for your time and assistance!,Refunds
"Hello, I hope you're doing well. I wanted to inquire about the process of transferring my SkyWings reward points to my family member. I understand that the airline operates only domestic flights in India. Could you please guide me through the necessary steps to complete this transfer? Thank you for your assistance.
",Loyalty And Rewards
Hi there! I'm looking to book a flight with SkyWings airline for my upcoming domestic trip. I was wondering if I need to bring my credit/debit card original or a copy for travel?,Travel Documents
"Hi there, I hope you're having a great day. I was wondering if my school ID would work as a photo ID for my child when they travel with SkyWings. Can you please let me know if this is possible?",Travel Documents
"Hello, I am planning a trip from Delhi to Mumbai and was wondering if SkyWings offers daily flights between these two cities?
",Flight Operations
"Hello, do you accept UPI payments on SkyWings flight bookings?",Fares And Payments
"I'm sorry, but I have a question about my baggage. I'm traveling with some musical instruments and sports gear, and I'm not sure if they are allowed on the domestic flights. Can you please provide me with some guidance on this matter?",Baggage
"I recently booked a flight with SkyWings and unfortunately, I need to cancel it. Can you please guide me on the necessary steps to modify or cancel my booking for a refund?","Booking, Modifications And Cancellations"
"Hello, I am a customer with a query regarding my upcoming flight with SkyWings. I am traveling with an infant and I was wondering if there are any special facilities or seating arrangements available for passengers with young children. Could you please provide me with more information on this matter? Thank you.",Passenger Services
"Hello, I'm a passenger with SkyWings and I'm looking forward to my domestic flight. I wanted to inquire about the meal options and refreshments available during the flight. Could you please provide me with some information on the menu and any special offerings?",Passenger Services
"Hi, I'm traveling with an infant and I have some questions about the onboard facilities and seating arrangements. Can you please provide me with some information about the facilities available for infants and the seating arrangements for families traveling together?",Passenger Services
"Hi, I have a question about your airline. I have a handicapped medical certificate, can I use it as a valid photo ID for my flight?",Travel Documents
"Hello, I have a question regarding local elections in my area. Could you please provide me with some information on the dates and locations of the upcoming elections? Thank you.",Irrelevant
"Hello, I have a question about cabin baggage allowed on SkyWings domestic flights. Could you please let me know what the restrictions are?",Baggage
"Hello, I am having trouble accessing my loyalty account with SkyWings. I tried resetting my password, but it's still not working. Can you please help me recover my account? Thank you.",Customer Support
"Hi, I have a question regarding my booking with SkyWings. I would like to cancel my reservation. Can you please guide me on how to proceed with the cancellation process?","Booking, Modifications And Cancellations"
"Hello, I have a concern regarding unaccompanied travel with SkyWings. My child is quite young and I'm worried about their safety during the flight. Can you please provide me with some information on the safety measures in place for unaccompanied children on your flights?",Passenger Services
Hi there! I'm planning a domestic flight with SkyWings and I was wondering if I'm eligible for a refund in case of any unforeseen circumstances. Can you please guide me on the refund policy for domestic flights?,Refunds
"Hi, I recently cancelled a flight with SkyWings airline and I was wondering how long it usually takes to receive a refund. Can you please provide me with an update on this matter?",Refunds
"Hi, I'm planning to travel with my baby and was wondering if I can bring a baby stroller on board or at the gate. Do you have any information on this?",Passenger Services
"Hello, I'm currently scheduled to fly with SkyWings on Sunday. I noticed on the flight schedule that there is a storm warning for the area I will be traveling to. Can you please provide me with information on how SkyWings handles weather disruptions and if there are any alternative routes or rescheduling options available?
",Other
"Hi, I have a question about the travel documents required for domestic flights with SkyWings. Can you please provide me with the necessary information?",Travel Documents
"Hello, I was wondering if SkyWings has any initiatives in place to support local job creation in the cities where it operates. Thank you for your time.",Other
"Hi, I need a little help with the cancellation procedure for a flight I have booked from Hyderabad to Kolkata.","Booking, Modifications And Cancellations"
"Hello, I am a customer with a query regarding the use of a handicapped medical certificate as a valid photo ID for SkyWings domestic flights. Can you please provide me with more information on this matter? Thank you for your assistance.",Fares And Payments
"Hi, I recently booked a flight with SkyWings and I have a question regarding their privacy and data protection policies. Can you please explain how your company ensures the security of customer information and what measures are taken to protect against potential data breaches?",Other
"Hello, I have a query regarding your payment policies for domestic flights. Are there any additional charges or fees that I need to be aware of before booking a flight?
",Fares And Payments
"Hi there, I'm trying to cancel a flight I booked from Ahmedabad to Jaipur and I could use some help with that.","Booking, Modifications And Cancellations"
"Hello, I was wondering if there are multiple flights per day between Delhi and Mumbai? I need to plan my trip and I would appreciate it if you could let me know the availability of flights. Thank you in advance.",Flight Operations
"Hello, I'm planning a trip to India and I was wondering if you could provide me with some information about your airline's fees and rules for excess baggage? I'm particularly interested in understanding the cost associated with checking in a carry-on bag and any restrictions on the size or weight of my luggage. I appreciate your help in making my travel arrangements as smooth and stress-free as possible.",Baggage
"Hello, I would like to know about the web check-in policies for SkyWings. Can you please guide me on how to complete the check-in process online? Also, are there any specific requirements or restrictions for web check-in?",Check-In And Boarding
"Hello, I'm calling to inquire about the frequency of SkyWings flights on the Mumbai-Bangalore route. Can you please provide me with this information?",Flight Operations
"Hello, I recently booked a flight with SkyWings and I would like to inquire about the possibility of upgrading my seat. Can you please provide me with information on how I can make this request and the requirements for upgrading my seat?","Booking, Modifications And Cancellations"
"Hi, I'm planning a trip to Australia and I'm wondering if you could help me with some information. What is the capital of Australia?",Irrelevant
"Hi there, I'm interested in learning more about the training program for cabin crew at SkyWings. Could you please share some details about the onboard safety demonstrations and emergency procedures that are conducted for the crew members? I'm sure the passengers must feel much safer and confident during their flights with your highly trained team.",Other
"Hi there! I hope you're doing well. I was wondering if you could help me with a question I have regarding my recent flight with SkyWings. I have a non-refundable ticket, and I was wondering if there are any special cases where I could get a refund. I'm sorry for the inconvenience, but I was hoping to get some clarification on this matter. Thank you so much for your help!",Refunds
"Hello, I was wondering if you could please let me know the latest check-in deadline for SkyWings flights?",Check-In And Boarding
"Hi there, I hope this message finds you well. I was wondering if you could provide me with some information about your airline's cancellation policies. As a customer, I understand that sometimes circumstances may arise that prevent me from traveling as planned, and I would like to know what options are available to me in such situations. Thank you for your time and assistance.","Booking, Modifications And Cancellations"
"Hi there, I'm looking for information about the aircraft that operates on a specific domestic route in India. Could you please help me with that?",Flight Operations
"Hi, I'm writing because I booked a SkyWings flight from Mumbai to Bangalore. The payment went through, but I haven't received my ticket confirmation. Could you please help me with this?",Fares And Payments
"Hi there, I was wondering if SkyWings offers any student travel benefits for their domestic flights in India?",Other
"Hi, I'm planning a trip with my family, and we have a child with us. Can you please guide us on the required travel documents for children while travelling with SkyWings?",Travel Documents
Hi! How does the price of a ticket change if I need to modify my travel dates or destination after booking?,Fares And Payments
"Hello, I am interested in traveling with a caregiver who will be accompanying a passenger with special needs. Can you please provide me with more information on this matter?",Passenger Services
